0-Control_ 1-High Carb	ENSMUSG00000000326	ENSMUSG00000000340	ENSMUSG00000000402	ENSMUSG00000001023	ENSMUSG00000001674	ENSMUSG00000001833	ENSMUSG00000002129	ENSMUSG00000003051	ENSMUSG00000003344	ENSMUSG00000003809
1	296.7421144	17.9176247	0	0	7.306608191	10.78773969	4.153540792	0.648800333	9.24703499	187.0483421
1	322.1923835	24.96834979	0.037550639	0	5.486051963	14.87177286	4.22038658	0.411963674	9.479240724	208.8605726
1	314.3937732	32.56793707	0	0	7.803118345	19.17318954	4.197060206	0.133920931	9.058538355	196.8093537
1	420.4989129	24.45097387	0.017158403	0	8.177916665	12.49202173	5.610937216	0.398631876	11.26943029	188.0260695
1	287.780424	21.50584127	0	0	6.186754723	10.25024568	4.139550455	0.673546547	8.098399302	187.8184185
0	267.4485467	34.85372328	0.030819311	0	10.29698019	20.299231	8.646896389	0.099445605	6.100064376	270.4651526
0	284.5961562	31.48012205	0.014948274	0	14.60709867	15.41486332	7.763623171	0.520927733	6.598660233	280.7026241
0	210.3911806	32.03022962	0.018000353	0	7.910971679	14.10420375	8.023123078	0.39495953	5.517125961	278.5386711
0	240.9735949	41.71783779	0	0	6.60881176	12.05706696	8.110161388	2.499688338	7.596336604	311.3609062
0	231.6834167	43.19425303	0.012379728	0	10.24405492	22.10948057	6.912679051	0.271633095	5.475881781	290.4288976
1	261.6972578	28.2604794	0.065069295	0	8.976588817	21.54712814	6.351271082	9.926959271	3.988760706	242.9973708
1	418.6825713	32.33963909	0.084682954	0	9.093054084	17.19102971	6.484740638	0.437198487	4.704260298	283.2080389
1	220.5987296	29.05320384	0.014867323	0	7.032546867	15.79164484	6.651181194	0.345404471	4.835840154	280.3327074
1	262.7498958	32.893055	0.036186366	0.113512683	7.626765338	11.62740928	6.662410043	0.467054571	6.014446615	261.9588282
1	365.6710393	38.14063236	0	0	7.095340758	12.18036316	7.350985491	0.757167203	5.923594772	273.8631757
1	306.2785084	30.71959186	0.031282525	0	7.866904011	19.66928617	5.940068359	0.343196928	4.93383112	270.4120976
1	312.7343349	31.79203078	0.016289372	0	5.754520077	14.48507816	8.08413726	0.925080828	5.851512817	245.1113461
1	373.9458611	25.30391045	0.026555161	0	6.042063625	12.95497685	6.319437522	0.291333569	4.888255837	258.8232924
1	294.9600059	35.74136738	0	0	8.24241973	22.46217118	5.23183054	0.27812737	4.326864287	236.129714
1	344.8476493	35.74170602	0.025500037	0	9.237382765	23.39689303	5.038268291	0.855730121	4.967467887	246.0734039
1	330.576319	26.322312	0	0	7.318599717	16.04650712	6.259620515	0.37846552	5.957603134	249.6337817
1	206.6276225	30.12495374	0	0	5.803590697	13.86899379	6.546107318	0.64957171	5.146795603	229.2393398
1	285.6227488	27.82317952	0	0	8.207970235	16.95230063	6.203305018	0.459562887	4.979369958	275.0177434
1	353.7728132	31.32791281	0.018519247	0	4.568496392	10.87320317	5.709890266	0.621468791	4.567411719	230.4838268
1	354.5023995	36.42945146	0.02692852	0	7.62651953	22.27848693	4.491720993	0.156403932	3.537264946	258.094074
0	262.3050088	35.81093303	0.029654345	0	9.712441646	17.90162473	9.134936727	0.899453807	7.989386331	212.6188377
0	246.1335569	51.57063595	0.013612224	0	13.22003723	26.02532475	7.817843082	0.527075694	7.371221505	180.3174512
0	394.8572532	30.64059783	0.016892309	0	10.35718463	16.35564939	8.448351691	0.501463703	8.000233096	203.4693932
0	351.784208	36.57486757	0	0	6.511995387	13.12111373	7.602533563	0.759751488	6.261918009	204.0533858
0	341.7879921	48.79281531	0	0	12.53656188	24.6011139	7.94172646	0.468535534	5.943527542	223.7224222
1	470.1823905	35.7166594	0.074446448	0	9.663979856	19.80448346	8.273070398	0.922439469	6.692366683	198.1261919
1	438.8227683	36.23099392	0.013887806	0	10.37769693	22.51971631	6.777791334	0.734920159	6.540064368	202.0424946
1	430.2807128	36.91706877	0	0.101370583	10.95170426	21.0260518	8.374054906	0.542223748	7.175904977	206.9613538
1	280.24382	29.55273082	0	0	6.324918345	10.45463756	7.458662356	0.92434226	6.9594862	202.6306887
1	265.5275881	33.83570837	0.014435956	0	7.917603992	15.90364758	6.664482303	0.894353984	6.179008968	194.7958453
1	316.7103591	27.1261474	0.047439036	0	7.688177182	16.2390706	7.33497489	2.143021654	8.789066462	196.0532107
1	271.517348	41.24961649	0	0	9.272220127	21.73868863	5.88249422	0.371280694	6.329854251	200.2462461
1	377.3699128	41.80904721	0	0	10.20169047	22.10422405	5.723364411	0.821722214	7.409316847	181.146664
1	319.1947827	27.08154331	0.017921085	0	7.339612907	12.37770358	6.87481961	0.346959049	6.021295048	178.7400557
1	331.776159	39.6412395	0	0	10.88446122	23.02557207	7.482629848	0.71591961	5.902798695	201.0016311
