0-Control_ 1-High Carb	ENSMUSG00000000326	ENSMUSG00000000340	ENSMUSG00000000402	ENSMUSG00000001023	ENSMUSG00000001674	ENSMUSG00000001833	ENSMUSG00000002129	ENSMUSG00000003051	ENSMUSG00000003344	ENSMUSG00000003809	ENSMUSG00000003863	ENSMUSG00000005469	ENSMUSG00000005503	ENSMUSG00000005683	ENSMUSG00000006456	ENSMUSG00000006546	ENSMUSG00000006784	ENSMUSG00000007777	ENSMUSG00000008035	ENSMUSG00000008461	ENSMUSG00000009092	ENSMUSG00000010122	ENSMUSG00000010453	ENSMUSG00000010517	ENSMUSG00000010755	ENSMUSG00000010803	ENSMUSG00000011154	ENSMUSG00000011263	ENSMUSG00000011751	ENSMUSG00000013611	ENSMUSG00000014245	ENSMUSG00000014980	ENSMUSG00000016028	ENSMUSG00000017765	ENSMUSG00000017922	ENSMUSG00000018442	ENSMUSG00000018752	ENSMUSG00000018900	ENSMUSG00000019872	ENSMUSG00000019913	ENSMUSG00000020109	ENSMUSG00000020182	ENSMUSG00000020189	ENSMUSG00000020265	ENSMUSG00000020524	ENSMUSG00000020532	ENSMUSG00000020692	ENSMUSG00000020904	ENSMUSG00000020963	ENSMUSG00000021033	ENSMUSG00000021177	ENSMUSG00000021271	ENSMUSG00000021281	ENSMUSG00000021621	ENSMUSG00000021700	ENSMUSG00000021748	ENSMUSG00000021749	ENSMUSG00000021775	ENSMUSG00000021789	ENSMUSG00000021814	ENSMUSG00000022025	ENSMUSG00000022091	ENSMUSG00000022199	ENSMUSG00000022212	ENSMUSG00000022360	ENSMUSG00000022364	ENSMUSG00000022546	ENSMUSG00000022679	ENSMUSG00000022814	ENSMUSG00000022844	ENSMUSG00000022865	ENSMUSG00000022902	ENSMUSG00000023072	ENSMUSG00000023165	ENSMUSG00000023210	ENSMUSG00000023828	ENSMUSG00000023977	ENSMUSG00000024007	ENSMUSG00000024027	ENSMUSG00000024069	ENSMUSG00000024085	ENSMUSG00000024222	ENSMUSG00000024233	ENSMUSG00000024236	ENSMUSG00000024401	ENSMUSG00000024471	ENSMUSG00000024481	ENSMUSG00000024677	ENSMUSG00000024732	ENSMUSG00000024734	ENSMUSG00000024812	ENSMUSG00000024816	ENSMUSG00000024899	ENSMUSG00000024936	ENSMUSG00000025064	ENSMUSG00000025077	ENSMUSG00000025153	ENSMUSG00000025223	ENSMUSG00000025405	ENSMUSG00000025473
0	285.6514463	37.56795322	0.014625643	0	7.163430311	19.46941639	6.969083443	0.377544057	6.129507614	258.4929343	0	30.28601455	0	45.29530754	3.911934368	0	0.082011442	25.67056215	41.64052342	0	7.578010051	79.0425201	7.79420395	5.912688069	8.248318203	0	0	5.192774578	0	0	1.528063549	3.222044984	4.892467015	3.921748743	0	31.45534364	0.053084215	6.070358517	13.95565326	0	13.06234799	58.00857793	6.016211	23.72864397	0.007130858	8.805015581	5.744736202	0	0	391.9620449	1.563865002	3.333688683	5.3184541	3.687731378	0	86.12618924	0.063225803	1.916746564	0.872987953	18.7001455	1.793861198	7.423683513	0.706825344	0	0.45233206	1.888783931	298.3378393	11.81695176	16.84524859	29.74829997	17.60129619	0	1.987886398	0	0	1.750899655	8.645897124	17.07116529	0	6.485027832	20.09348767	14.76120931	0	4.306387265	0.193033508	1.468046481	0	0.286042916	4.31909897	0	3.755786238	3.415646279	43.31211905	0.064515073	0.021231786	3.103446146	114.7738363	13.04472294	23.07286761	0.215577759
0	350.1706084	35.30826916	0.089238559	0	7.495813081	20.4543171	5.163730629	0.312630084	6.231313429	262.0285515	0.021135242	30.93873192	0	52.37778664	2.938142108	0	0.039713802	28.28833721	37.4550257	0.053444311	1.960958162	52.98259968	6.971198851	6.133595871	8.088303762	0	0	3.868459945	0.023645762	0	1.82347366	3.293190676	3.057208028	2.671727389	0	31.6548364	0.015423526	6.518303398	16.40080797	0	10.58850171	63.68188872	5.981436126	26.94812515	0	9.591745307	3.402691047	0	0	401.340291	1.336920606	2.424578267	4.91058254	3.053168324	0.081109601	104.7146793	0.05511044	1.981210278	0.410663536	22.10134037	1.756053987	6.388007334	0.525939543	0	0.406404343	1.701843515	215.5409962	9.965400202	13.90142662	35.29142432	20.74066134	0	2.074395984	0	0	1.496623881	7.693905283	15.57711579	0	6.589454552	16.52328217	10.94548623	0	3.906226883	0.126192484	2.449994618	0	0.297584804	2.650951971	0	3.716713626	2.870080511	39.696846	0.028117113	0.012337717	3.599412439	108.3587717	9.117319936	34.9975963	0.065767529
0	282.6494429	34.19838061	0.017369	0.108969318	4.867135338	11.75535018	5.021137845	0.44836063	7.574123829	267.3603199	0.019197129	26.11485584	0	38.29670422	4.645702476	0	0.021643215	22.74575701	23.38997847	0	5.905876029	73.86850212	9.095023754	4.246681629	8.221197295	0.020036594	0	3.776893393	0.021477433	0	1.987512141	3.224284046	3.838017716	4.350952634	0	33.85104801	0.04202754	5.445085073	9.436265048	0	10.93828334	48.08290054	4.964503172	22.35785232	0.050810432	5.889852919	3.266268216	0	0	386.6989932	1.571478438	3.416839008	4.685708692	2.951663797	0.038677698	81.59710585	0.11262776	3.716571168	0.707613304	22.39784395	3.015248706	12.37807687	0.818932451	0.023482888	0.685933382	0.567067325	247.342346	6.644235717	13.95223255	32.41885426	12.65471294	0	2.044881576	0	0	1.153686587	10.69748717	13.65741186	0	5.3217784	19.00531833	20.78034725	0	3.260934747	0.200585987	2.232415792	0.043770528	0.328738516	2.48310378	0	3.948767055	2.794588805	32.12019786	0	0.025214268	3.574796418	50.29213068	14.67296794	36.8846176	0.153608425
0	228.7373605	31.72251707	0	0	5.928076092	18.25548724	4.841995189	0.491485068	5.537143477	269.6289514	0	27.92246252	0	43.87347122	4.722971788	0	0.043136205	24.81806744	32.31290033	0.036281227	0.980896641	58.74242781	7.929272622	5.960336456	8.62844595	0	0	3.806314439	0	0	1.808387183	3.116314307	4.256723664	3.541964235	0	30.36985319	0.083763369	6.083444633	16.30102014	0	10.24477847	49.44674552	6.282252695	25.02080316	0	7.0993814	2.467448997	0	0	402.3071617	1.435522609	2.58828811	3.020699004	2.544670435	0	103.2812919	0.074824592	2.639745189	0.508369397	23.45663909	1.143124487	7.918247018	0.897699404	0.011700696	0.42824999	1.94645326	279.3716696	10.71206451	14.97850246	24.56628355	18.43869652	0	2.170323723	0	0	1.590840082	8.959110054	15.43773791	0	6.489008547	20.67329318	21.03577631	0	4.534075054	0.057111388	0	0	0.338517559	2.661947313	0	3.659812447	2.847238549	40.08172274	0.076350379	0.025126762	2.6090745	73.54583493	10.62494541	24.42505337	0.165831609
0	293.0489944	38.22545315	0	0	6.154526566	18.07623393	5.112251723	0.438570259	5.541370011	278.9556627	0	26.6465382	0	42.14166387	3.197569545	0	0.035284358	29.22767172	38.54859783	0	5.473169175	54.67610788	6.625521727	6.297760459	8.174757255	0	0	4.278849662	0	0	1.461606669	3.372370411	2.924099401	2.697430271	0	34.07751061	0.017129096	5.288678223	12.9238634	0	10.0385149	61.50406375	5.058436074	21.57269575	0	5.964069149	4.466053847	0.017409517	0	356.9910327	1.678846767	2.631029099	4.685770057	2.853639248	0	100.4652607	0	3.596008075	0.617043563	22.41490932	2.297546046	7.830124645	0.450590793	0	0.458081993	1.17100142	255.0265266	8.700238679	17.46054173	36.10255351	20.6840552	0	1.721064838	0	0	0.874802145	8.119231676	15.16390823	0	7.088889273	20.63400613	16.33351181	0	2.982503325	0.303652151	0.883865991	0	0.25903461	3.128106766	0	3.202107404	3.314959206	36.4931025	0.031226369	0	3.193030175	59.25221671	10.42579763	27.70979736	0.114777546
1	312.8880724	31.01762359	0.02742725	0.086036293	6.78242613	18.54814077	5.373823342	1.486805699	4.938500258	182.4307276	0	20.74825419	0	38.77313147	7.367703696	0	0.076897415	22.94738392	40.98786853	0.071863648	25.92384263	32.83593687	7.697840357	4.871737675	13.09711631	0	0	2.291278205	0.021196777	0	1.961540407	3.910595014	2.067175706	6.541542297	0	36.97130536	0.099548033	3.366654642	9.946427211	0	8.938245986	51.06535356	5.459587411	22.22078631	0	12.42681332	6.634348761	0.050588871	0	254.0036808	0.996363515	4.808169973	9.735242123	4.28156932	0	95.63817466	0.71139841	3.49106603	0.493728942	25.36309283	0.491661689	8.360548689	0.727407976	0.009270411	0.606826099	0.805906362	157.8036949	4.981832789	10.08995314	46.55715024	23.75967094	0	2.04769422	0	0	0.571953349	10.39527206	10.21425986	0	4.406754339	19.65735456	11.8319081	0	3.174942674	0.95023122	3.038378101	0	0.778662574	3.29724615	0	4.959296073	3.548443108	23.33032065	0.060492075	0.006635942	1.590121875	74.90592276	16.31915405	30.02745385	0.677151819
1	482.5752789	36.08177648	0	0	7.238072505	20.05566241	4.317779837	0.875185855	4.638423199	248.7555255	0	28.30357004	0	56.66295374	3.298206357	0	0.313209589	25.72930706	50.1544569	0.024505672	52.71874366	45.24360688	6.914982414	6.679057057	10.27253121	0.026972966	0	2.757639618	0.007228151	0	2.413819948	3.124625179	4.125335804	3.811297051	0	49.1731069	0.04243264	5.038148443	14.04096268	0	11.17243113	47.84143463	8.773832296	26.888499	0.017100063	18.62910199	2.712666545	0	0	352.6719412	1.234042273	4.065046895	5.836370112	3.871838843	0	159.4878629	0.480123115	3.945607613	0.631360214	29.42664216	1.058891277	5.5977884	0.468534772	0	0.828828996	2.001745837	160.6100891	8.135898915	14.75362425	37.69698823	25.6801833	0	2.159708714	0	0	0.984216657	10.74273157	11.28696383	0.106798367	6.173939321	20.86385769	12.18442584	0	5.577233053	0.057862691	1.03036976	0.029461619	0.228647181	2.101860307	0	5.240028966	4.737636267	26.58565393	0	0	2.982294025	181.9645439	11.80468644	38.55866499	0.180937217
1	325.6099056	40.54323775	0.025730424	0	8.607012988	22.50500253	4.949445809	0.464940781	6.069999219	206.0817545	0	32.36520043	0	58.26624819	4.211261645	0	0.138936385	18.58975066	46.87657402	0.08090124	29.28471499	32.38451106	8.380440886	8.066223053	8.52233386	0	0	2.68690626	0.002651388	0	1.909527286	2.810241877	6.155766845	4.012549521	0	37.07803781	0.010376595	6.990832425	20.89735561	0	13.71860166	43.29191884	12.38705981	28.27975149	0	28.6403828	2.094145776	0.010546471	0.016138962	291.8531281	1.27568986	3.025814986	6.422589093	3.077762869	0	140.1027888	0.01853852	6.948056925	1.040131809	29.19102297	1.06814478	5.841695153	0.606582971	0	1.01206033	2.090798895	162.3550825	7.710542096	13.73262178	42.17603607	36.6925361	0	2.290435827	0	0	0.987021323	15.09825042	12.55003529	0	7.285459168	28.5625006	10.70616848	0	8.813839034	0.212248526	1.312340931	0.079250879	0.378772334	2.297494418	0	6.738774349	6.230449292	42.4021911	0	0.024901599	3.30173273	327.3470486	7.700247045	49.56840127	0.3476541
1	290.5320844	29.89658335	0.034314491	0	4.437966944	11.37393285	5.157942224	0.553618037	7.190484734	266.8197256	0.02844463	24.78484935	0	43.68637515	3.848465998	0	0.106896755	20.23200839	35.19641728	0	9.93147662	85.59520531	10.51632069	4.80753081	12.87259875	0	0	4.995541291	0	0	1.920601303	3.818132798	5.642755598	3.886277262	0	39.16184257	0.186818221	5.802936753	10.59875053	0	11.59074198	39.91009931	5.48129849	24.39611552	0.025095488	9.36349497	3.720822424	0	0	406.0867103	1.093679799	3.63672803	7.396188923	2.956362392	0.005458023	103.7208052	0	3.919990874	1.040351876	29.54143188	2.460490267	18.05417953	0.910066965	0.034794894	0.628589784	1.232338599	227.6953435	5.526932491	13.28943889	36.33449068	14.58788354	0	2.873914517	0	0	1.073364327	12.08964836	12.29387222	0	6.966458049	15.43564059	16.53463927	0	5.016590201	0.254752119	0.714064514	0.014412299	0.216487128	2.30417453	0.023633821	3.87030981	2.86352292	30.28639433	0	0.058116024	3.531214189	89.8973942	17.12201882	37.26085928	0.164380346
1	443.1344681	31.7906205	0	0	3.310162588	10.96802496	3.621181112	0.53852188	6.897475803	252.8305246	0.317040587	14.08409097	0	48.82032662	1.514240989	0	0.162471679	17.91802763	40.52214022	0	7.318684338	50.58092753	5.453910275	3.692921629	16.06341657	0	0	6.12968269	0	0	1.902826853	2.157957173	5.717591585	3.299916257	0	33.19321071	0	8.535829751	12.8008793	0	8.008283748	42.34955548	4.246011356	17.03386854	0	16.92957287	2.214644805	0	0	364.1533201	0.440890616	3.836396143	3.106499724	1.855055184	0	81.13314139	0	2.439641934	2.388307116	26.03302253	0	4.323359857	1.229515409	0	0.694828733	1.009036168	192.0923687	7.73075559	17.78334292	19.52619626	14.82234361	0	3.228192446	0	0	1.195016867	11.87504823	10.39169161	0	5.304963499	20.23966559	13.41532613	0	3.781129189	0.028681191	1.425788889	0	0.032903737	1.493727163	0	4.0035532	5.990866608	36.6497967	0	0	1.9956427	276.8630844	12.45366068	28.5015764	0.384370176
